product_id,name
4,Addams Family Cereal
1259,Agave Plus Granola Cereal
6,All-Bran Cereal
582,All-Bran Strawberry Medley Cereal
7,All-Bran Yogurt Bites Cereal
9,Almond Delight Cereal
11,Alpha-Bits Cereal
1263,Anitoxidant Indulgence Cereal
17,Apple Cinnamon Rice Krispies Cereal
1649,Apple Cinnamon Toast Crunch Cereal
556,Atlantis Cereal
568,Autumn Wheat Cereal
1569,Avengers Cereal
477,Acai Apple Granola Cereal
909,Airheads Berries (Cap'n Crunch) Cereal
1711,All Together Cereal
1356,All-American Rice Krispies Cereal
598,All-Bran Bran Buds Cereal
600,All-Bran Buds Cereal
596,All-Bran Complete Oat Flakes Cereal
597,All-Bran Complete Wheat Flakes Cereal
599,All-Bran Extra Fiber Cereal
1384,All-Wheat Cereal
410,Almond Apple Muesli Cereal
1704,Almond Nut Butter Crunch Cereal
791,Alpen Cereal
792,Alpen (No Added Sugar) Cereal
786,Amaranth Flakes Cereal
928,Amazin' Raisin Bran Cereal
1480,Amazing Spider-Man Cereal
503,Amazon Frosted Flakes Cereal
961,Ancient Grain: Organic Harvest Apple Cereal
1054,Anderson Trail Granolas
1284,Apple & Cinnamon Wheats Cereal
1119,Apple Blueberry Granola Cereal
1283,Apple Caramel Pecan Crunch Cereal
12,Apple Cinnamon Cheerios Cereal
1482,Apple Cinnamon Chex Cereal
467,Apple Cinnamon Granola Cereal
1039,Apple Cinnamon Granola Cereal
856,Apple Cinnamon Harvest Cereal
945,Apple Cinnamon Low Fat Crisp Cereal
879,Apple Cinnamon Oatios Cereal
1380,Apple Cinnamon Oh!s Cereal
834,Apple Cinnamon O's Cereal
811,Apple Cinnamon Square-Ems Cereal
690,Apple Cinnamon Squares Cereal
1252,Apple Cinnamon Toasty O's Cereal
1218,Apple Cranberry Crumble Cereal
1069,Apple Crisp Cereal
13,Apple Jacks Cereal
1377,Apple Jacks Apple Clones Cereal
1092,Apple Jacks Crashers Cereal
1336,Apple Jacks Gliders Cereal
1574,Apple Jacks With Marshmallows Cereal
1445,Apple Oh!s Cereal
1257,Apple Orchard Granola Cereal
14,Apple Raisin Crisp Cereal
1040,Apple Strawberry Granola Cereal
914,Apple Zaps Cereal
15,Apple Zings Cereal
1261,Artisan Inspiration Cereal
872,Aztec Crunchy Corn & Amaranth Cereal
592,Banana Almond Medley Cereal
415,Banana Frosted Flakes Cereal
19,Banana Nut Crunch Cereal
1107,Barbie Multi-Grain Cereal
21,Baron Von RedBerry Cereal
22,Bart Simpson Cereal
1083,Bart Simpson's No ProblemO's Cereal
24,Batman Cereal
1596,Batman Chocolate Strawberry Cereal
25,Batman Returns Cereal
