token,frequency,pos
cereal,9245,NN
back,6079,RB
bring,4400,NN
please,3344,NN
would,2544,MD
best,2140,JJS
breakfast,1977,NN
ever,1805,RB
team,1685,NN
loved,1665,VBN
favorite,1657,NN
member,1476,NN
like,1365,IN
love,1341,NN
find,1285,VB
one,1251,CD
still,1237,RB
time,1221,NN
good,1111,JJ
buy,978,VB
remember,963,VB
box,937,NN
flakes,920,NNS
years,903,NNS
wish,864,NN
taste,858,NN
get,858,VB
miss,857,NN
could,842,MD
eat,839,NN
cereals,811,NNS
great,795,JJ
really,780,RB
post,762,NN
kellogg,719,NN
ca,656,MD
kid,646,NN
make,639,VB
wheat,620,NN
made,604,VBN
much,595,JJ
crunch,563,NN
want,538,NN
even,533,RB
every,530,DT
never,519,RB
discontinued,507,VBN
know,501,VB
stores,495,NNS
eating,487,VBG
see,472,VB
used,468,VBN
store,456,NN
come,451,VB
also,451,RB
sugar,442,NN
found,437,NN
market,422,NN
making,420,VBG
always,417,RB
old,411,JJ
shelves,410,NNS
flavor,404,NN
day,400,NN
need,393,NN
better,386,RBR
boxes,382,NNS
think,379,NN
milk,377,NN
general,375,JJ
rice,366,NN
ate,363,NN
mills,361,NNS
since,354,IN
people,353,NNS
oat,353,NN
many,352,JJ
little,344,JJ
delicious,342,JJ
corn,340,NN
wheats,340,NNS
kids,333,NNS
us,321,PRP
bran,318,NN
raisin,317,NN
bowl,316,NN
today,310,NN
go,307,VB
available,307,JJ
got,307,VBD
anymore,303,RB
nothing,303,NN
chex,298,NN
original,290,JJ
hearts,289,NNS
bought,282,NN
product,276,NN
looking,275,VBG
new,274,JJ
stuff,271,NN
krumbles,271,NNS
tasted,267,VBN
longer,267,NN
grocery,265,NN
way,262,NN
tried,261,VBN
awesome,260,NN
honey,258,NN
try,250,NN
brought,244,NN
right,241,NN
mom,241,NN
recipe,239,NN
well,231,RB
look,231,NN
hope,231,NN
came,230,VBD
morning,227,NN
anywhere,226,RB
put,226,NN
last,222,JJ
stopped,221,VBD
something,221,NN
childhood,221,NN
sure,220,NN
liked,219,VBN
memories,214,NNS
close,213,RB
berry,213,NN
cinnamon,213,NN
sweet,212,NN
strawberry,212,NN
long,208,RB
concentrate,208,NN
crisp,207,NN
agree,204,NN
gone,203,VBN
family,200,NN
frosted,199,VBN
thought,197,NN
first,196,RB
around,196,IN
whole,193,JJ
tasting,191,VBG
oh,186,NN
anyone,184,NN
maybe,183,RB
bad,183,JJ
child,182,NN
enough,182,RB
lot,182,NN
else,181,RB
anything,181,NN
thing,180,NN
believe,179,VB
food,176,NN
healthy,175,JJ
went,174,VBD
life,171,NN
year,171,NN
take,170,VB
nut,170,NN
able,169,JJ
another,168,DT
grew,166,VBD
let,165,VB
far,165,RB
company,164,NN
buc,164,NN
going,163,VBG
looked,161,VBD
start,161,NN
away,161,RB
keep,160,VB
absolutely,159,RB
tastes,159,NNS
ago,158,RB
growing,157,VBG
stop,157,NN
chocolate,157,NN
version,153,NN
name,152,NN
toasties,152,NNS
without,152,IN
say,152,VB
two,150,CD
oats,149,NNS
said,148,VBD
squares,148,NNS
sad,148,NN
crunchy,147,NN
amazing,147,VBG
fruit,147,NN
greatest,147,JJS
sell,146,NN
jets,146,NNS
quisp,146,NN
quaker,145,NN
everyone,145,NN
world,145,NN
toast,145,NN
though,144,IN
raisins,144,NNS
give,142,VB
probably,141,RB
discontinue,139,NN
big,138,JJ
eaten,136,VB
puffed,136,NN
shelf,135,NN
snack,134,NN
comments,134,NNS
needs,133,NNS
online,132,NN
hot,132,JJ
grape,131,NN
least,131,JJS
changed,130,VBN
definitely,130,RB
pretty,130,RB
wonderful,129,NN
favorites,129,NNS
crispy,129,NN
live,128,JJ
texture,128,NN
disappointed,128,JJ
fortified,128,VBN
someone,127,NN
thanks,126,NNS
hard,126,JJ
tell,126,NN
shredded,123,VBN
days,123,NNS
thank,122,NN
walmart,121,NN
commercial,120,JJ
top,118,NN
called,118,VBN
husband,117,NN
maple,117,NN
local,116,JJ
selling,116,VBG
similar,116,JJ
sold,116,VBN
actually,116,RB
times,116,NNS
buying,115,NN
hoping,115,VBG
real,115,JJ
case,115,NN
children,114,NNS
soggy,114,NN
others,114,NNS
comes,113,VBZ
yes,113,NNS
enjoy,112,NN
happened,112,VBD
different,111,JJ
clusters,111,NNS
marshmallows,110,NNS
must,109,MD
early,108,RB
butter,108,NN
nuts,108,NNS
understand,107,NN
special,107,JJ
oatmeal,106,NN
week,104,NN
cheerios,104,NNS
tasty,104,NN
pay,104,NN
order,104,NN
cream,103,NN
limited,103,JJ
trying,102,VBG
makes,102,VBZ
total,100,JJ
small,100,JJ
area,99,NN
bringing,99,VBG
use,99,NN
peanut,99,NN
mini,98,NN
lol,97,NN
kind,97,NN
disappeared,96,VBD
told,95,NN
krinkles,94,NNS
return,94,NN
took,93,VBD
brand,92,NN
change,92,NN
enjoyed,92,VBN
nabisco,92,NN
perfect,91,NN
crazy,91,NN
craving,91,VBG
saw,91,NN
soon,91,RB
high,91,JJ
lucky,90,JJ
omg,90,NN
happy,90,JJ
house,89,NN
blueberry,89,NN
add,88,VB
mother,88,NN
later,87,RB
krispies,87,NNS
yummy,87,NN
mix,87,NN
help,86,NN
searching,86,VBG
almost,86,RB
brother,86,NN
seems,85,VBZ
getting,84,VBG
bunches,84,NNS
puffa,84,NN
regular,84,JJ
wheaties,84,NNS
puffs,84,NNS
vanilla,83,NN
memory,83,NN
reason,82,NN
gm,82,NN
school,81,NN
wo,80,MD
shame,80,NN
dad,80,NN
finally,79,RB
man,79,NN
home,79,NN
guess,79,NN
canada,79,NN
late,79,RB
seen,78,VBN
carry,78,NN
absolute,78,NN
apple,77,NN
purchase,77,NN
stock,77,NN
commercials,77,NNS
force,77,NN
things,77,NNS
waffle,76,NN
loves,76,NNS
berries,75,NNS
foods,75,NNS
either,75,DT
cold,75,NN
added,74,VBD
kaboom,74,NN
started,74,VBN
trix,73,NN
feel,73,NN
often,73,RB
thinking,73,VBG
daughter,73,NN
glad,72,NN
hands,72,NNS
several,72,JJ
comeback,71,NN
wife,71,NN
compare,71,NN
brings,71,NNS
wonder,71,NN
mouth,71,NN
might,71,MD
charms,70,NNS
may,70,MD
son,70,NN
pieces,69,NNS
quake,68,NN
ones,68,NNS
seriously,68,RB
money,68,NN
site,68,NN
flake,68,NN
target,67,NN
none,67,NN
especially,67,RB
place,67,NN
forever,67,RB
golden,67,JJ
three,66,CD
bit,66,NN
couple,66,NN
taken,65,VBN
consider,65,VB
quit,65,NN
cocoa,65,NN
health,65,NN
seem,65,NN
wow,64,NN
marketing,64,NN
products,64,NNS
everything,64,NN
chance,64,NN
course,64,NN
flavors,64,NNS
truly,64,RB
count,63,NN
dry,63,NN
popular,63,JJ
boo,63,NN
missing,63,VBG
compares,63,NNS
production,62,NN
fruity,62,NN
sister,62,NN
french,62,JJ
recently,62,RB
yet,61,RB
exactly,61,RB
multi,61,NN
asked,60,VBN
knew,60,NNS
treat,60,NN
nestle,60,RB
crave,60,NN
missed,59,VBN
smurf,59,NN
looks,59,NNS
along,59,IN
quite,59,RB
part,59,NN
friends,59,NNS
instead,59,RB
fiber,59,NN
unique,58,NN
soya,58,NN
supermarket,58,NN
everywhere,57,RB
totally,57,RB
cookie,57,NN
months,57,NNS
call,57,NN
search,57,NN
king,57,NN
everyday,56,NN
worth,56,NN
heard,56,NN
young,56,JJ
read,56,NN
price,55,NN
flavored,55,VBN
recall,55,NN
fun,55,NN
aisle,55,NN
end,55,NN
idea,54,NN
fan,54,NN
adult,54,NN
finding,54,VBG
care,54,NN
line,53,NN
kix,53,NN
amazon,53,NN
sales,53,NNS
substitute,53,NN
pink,53,NN
half,52,NN
peaches,52,NNS
ask,52,NN
sugary,52,JJ
next,52,JJ
freakies,52,NNS
heart,52,NN
vote,51,NN
gets,51,VBZ
syrup,50,NN
hate,50,NN
however,50,RB
super,50,NN
wanted,50,VBD
chocula,50,NN
country,49,NN
website,49,NN
companies,49,NNS
grahams,49,NNS
brown,49,NN
ice,49,NN
remembered,49,VBN
coming,49,VBG
together,48,RB
monster,48,NN
huge,48,JJ
grandmother,48,NN
free,48,JJ
ingredients,48,NNS
alone,48,RB
entire,48,JJ
hit,48,NN
left,48,NN
nice,48,JJ
tv,48,NN
show,47,NN
nearly,47,RB
less,47,RBR
bowls,47,NN
past,47,NN
fantastic,47,JJ
nerds,47,NNS
full,46,JJ
k,46,NN
graham,46,NN
share,46,NN
luck,46,NN
sometimes,46,RB
month,46,NN
oreo,46,NN
send,46,NN
classic,46,JJ
hey,45,NN
mind,45,NN
second,45,JJ
marshmallow,45,NN
run,45,VB
fact,45,NN
stayed,45,NN
etc,45,NN
maypo,45,NN
lived,45,VBD
already,44,RB
god,44,NN
comment,44,NN
nutritious,44,JJ
dream,44,NN
searched,44,VBN
petition,44,NN
person,44,NN
introduced,44,VBN
asking,44,VBG
age,43,NN
lost,43,VBN
talking,43,VBG
lots,43,NNS
wrong,43,JJ
internet,43,NN
problem,43,NN
surprised,43,JJ
check,43,NN
says,43,VBZ
boy,43,NN
wrote,43,VBD
rid,42,JJ
parents,42,NNS
upset,42,NN
night,42,NN
heck,42,NN
mine,41,NN
pebbles,41,NNS
based,41,VBN
sale,41,NN
formula,41,NN
excellent,41,NN
kept,41,NN
triple,41,NN
yeah,41,NN
ralston,40,NN
goodness,40,NN
fans,40,NNS
loops,40,NNS
born,40,NN
low,40,JJ
plain,40,NN
closest,40,NN
work,40,NN
gave,40,VBD
cool,40,NN
cookies,39,NNS
list,39,NN
customers,39,NNS
honeycomb,39,NN
shape,39,NN
sprinkle,39,NN
literally,39,RB
somewhere,39,RB
saturday,39,NN
bits,39,NNS
smell,39,NN
sense,39,NN
near,39,IN
sitting,38,VBG
sweetness,38,NN
simple,38,NN
sadly,38,RB
page,38,NN
watching,38,VBG
lunch,38,NN
muffets,38,NNS
anybody,38,NN
meal,38,NN
rest,38,NN
opinion,37,NN
almond,37,NN
type,37,NN
true,37,JJ
unfortunately,37,RB
fresh,37,JJ
touch,37,NN
became,37,VBD
expensive,37,JJ
b,37,NN
produced,37,VBN
sent,37,NN
whenever,36,NN
shapes,36,NNS
brands,36,NNS
mean,36,NN
simply,36,RB
usually,36,RB
shop,36,NN
although,36,IN
seemed,36,VBD
hear,36,NN
grandma,36,NN
goes,36,VBZ
coco,36,NN
